Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,VmId,______,____________,Latitude,Longitude
台南安平港風景區停車場站,VmId: 659342b6-6718-4f45-aab2-2be68f6ec814<br>地址: 台南市安平區運河路43號-1(近安平遊憩碼頭旁)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 22.997400<br>Longitude: 120.160400,,,,,"-1","0","-1",,,659342b6-6718-4f45-aab2-2be68f6ec814,台南市安平區運河路43號-1(近安平遊憩碼頭旁),已啟用,"22.997400","120.160400"
小港區公所站,VmId: 659b4b29-ef20-4c22-b817-c1ec26e0a242<br>地址: 高雄市小港區小港路158號(近高雄銀行小港分行)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 22.565204<br>Longitude: 120.337872,,,,,"-1","0","-1",,,659b4b29-ef20-4c22-b817-c1ec26e0a242,高雄市小港區小港路158號(近高雄銀行小港分行),已啟用,"22.565204","120.337872"
台亞文中加油站,VmId: 65bbc9f2-65b8-4e94-a0f1-f7a4e7ef3aac<br>地址: 桃園市桃園區文中路666號(近文中路/國豐六街口)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 24.993717<br>Longitude: 121.276943,,,,,"-1","0","-1",,,65bbc9f2-65b8-4e94-a0f1-f7a4e7ef3aac,桃園市桃園區文中路666號(近文中路/國豐六街口),已啟用,"24.993717","121.276943"
樹林柑園市民活動中心站,VmId: 65c41e6e-a64c-4df5-80f1-51c81f069e33<br>地址: 新北市樹林區佳園路三段128號(近柑園市民活動中心)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 24.950982<br>Longitude: 121.386239,,,,,"-1","0","-1",,,65c41e6e-a64c-4df5-80f1-51c81f069e33,新北市樹林區佳園路三段128號(近柑園市民活動中心),已啟用,"24.950982","121.386239"
Gogoro 南區建成門市站,VmId: 65ce58ed-099c-447b-9948-7ae3f72f91a8<br>地址: 台中市南區建成路1637號(近建成路/學府路口)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 24.126329<br>Longitude: 120.674835,,,,,"-1","0","-1",,,65ce58ed-099c-447b-9948-7ae3f72f91a8,台中市南區建成路1637號(近建成路/學府路口),已啟用,"24.126329","120.674835"
統冠超市國聯店站,VmId: 65f5b1a3-ba09-4b43-b45f-915c34e35da9<br>地址: 花蓮縣花蓮市國聯五路150號(近國聯五路/國聯八路口)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 23.992907<br>Longitude: 121.605082,,,,,"-1","0","-1",,,65f5b1a3-ba09-4b43-b45f-915c34e35da9,花蓮縣花蓮市國聯五路150號(近國聯五路/國聯八路口),已啟用,"23.992907","121.605082"
大興公園停車場站(多站),VmId: 65f89925-7181-4207-ab58-deeee980d72a<br>地址: 台南市北區文賢路與大興街口(近大興街/大興街76巷口)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 23.011465<br>Longitude: 120.192293,,,,,"-1","0","-1",,,65f89925-7181-4207-ab58-deeee980d72a,台南市北區文賢路與大興街口(近大興街/大興街76巷口),已啟用,"23.011465","120.192293"
全聯台中軍太店站,VmId: 66057f99-d9e3-4733-9be7-c60121cd96ed<br>地址: 台中市北屯區軍功路１段183號(近軍功路一段/太原路三段口)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 24.165354<br>Longitude: 120.715901,,,,,"-1","0","-1",,,66057f99-d9e3-4733-9be7-c60121cd96ed,台中市北屯區軍功路１段183號(近軍功路一段/太原路三段口),已啟用,"24.165354","120.715901"
全家台中新文山店站,VmId: 660d5cc9-6b51-4d21-8105-ba3e8cd566f6<br>地址: 台中市南屯區嶺東路730號(近嶺東路/文山六街口)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 24.148642<br>Longitude: 120.611885,,,,,"-1","0","-1",,,660d5cc9-6b51-4d21-8105-ba3e8cd566f6,台中市南屯區嶺東路730號(近嶺東路/文山六街口),已啟用,"24.148642","120.611885"
公館水岸新世界機車臨時平面停車場站(多站),VmId: 661c4969-3b63-46ca-9e5a-9f9e1eb3a1d2<br>地址: 台北市中正區汀州路三段160巷(近自來水園區)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 25.012842<br>Longitude: 121.534087,,,,,"-1","0","-1",,,661c4969-3b63-46ca-9e5a-9f9e1eb3a1d2,台北市中正區汀州路三段160巷(近自來水園區),已啟用,"25.012842","121.534087"
中油健行加油站(多站),VmId: 6632f5ab-8412-4a22-a945-32f571fc5569<br>地址: 桃園市桃園區健行路29號(近家樂福桃園店)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 25.022010<br>Longitude: 121.308650,,,,,"-1","0","-1",,,6632f5ab-8412-4a22-a945-32f571fc5569,桃園市桃園區健行路29號(近家樂福桃園店),已啟用,"25.022010","121.308650"
Gogoro 板橋館前店站,VmId: 66334d40-9eb7-44d4-8fd8-9dc0e3eeab69<br>地址: 新北市板橋區館前東路26號(近誠品生活板橋店)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 25.006936<br>Longitude: 121.460370,,,,,"-1","0","-1",,,66334d40-9eb7-44d4-8fd8-9dc0e3eeab69,新北市板橋區館前東路26號(近誠品生活板橋店),已啟用,"25.006936","121.460370"
7-ELEVEN 新同安店站(多站),VmId: 665878f8-e4bb-4097-8514-d2c7075646c7<br>地址: 台南市安南區海佃路二段432號(近海佃路二段/同安路口)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 23.038808<br>Longitude: 120.188056,,,,,"-1","0","-1",,,665878f8-e4bb-4097-8514-d2c7075646c7,台南市安南區海佃路二段432號(近海佃路二段/同安路口),已啟用,"23.038808","120.188056"
7-ELEVEN 復中店站(多站),VmId: 667297c7-9a02-4c40-8c1e-3012ca755cfa<br>地址: 高雄市苓雅區興中一路138號(近興中一路/仁愛三街)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 22.617665<br>Longitude: 120.310316,,,,,"-1","0","-1",,,667297c7-9a02-4c40-8c1e-3012ca755cfa,高雄市苓雅區興中一路138號(近興中一路/仁愛三街),已啟用,"22.617665","120.310316"
臺中市東勢區公所站(多站),VmId: 66762652-6a9b-4589-8a57-043c945475af<br>地址: 台中市東勢區豐勢路518號(近東勢戶政事務所)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 24.258953<br>Longitude: 120.827972,,,,,"-1","0","-1",,,66762652-6a9b-4589-8a57-043c945475af,台中市東勢區豐勢路518號(近東勢戶政事務所),已啟用,"24.258953","120.827972"
新北市養工處三重民生街站(多站),VmId: 6677a5bb-c5e9-485c-a731-16172e001ac9<br>地址: 新北市三重區民生街92號對面(近明志國中)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 25.063675<br>Longitude: 121.489626,,,,,"-1","0","-1",,,6677a5bb-c5e9-485c-a731-16172e001ac9,新北市三重區民生街92號對面(近明志國中),已啟用,"25.063675","121.489626"
Gogoro 蘆竹南崁服務中心站,VmId: 668a3a2e-7e98-4822-9e9d-a14a60bf1cbb<br>地址: 桃園市蘆竹區南崁路一段56號(近台茂購物中心)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 25.051342<br>Longitude: 121.289123,,,,,"-1","0","-1",,,668a3a2e-7e98-4822-9e9d-a14a60bf1cbb,桃園市蘆竹區南崁路一段56號(近台茂購物中心),已啟用,"25.051342","121.289123"
台南市東區立德停車場站(多站),VmId: 669639ee-4a9b-4992-b0ed-6a3d87641970<br>地址: 台南市東區立德八路14巷5號前(近立德一路/立德七路)<br>營業時間: 公休<br>目前狀態: 建置中(其他狀態100)<br>Latitude: 22.976452<br>Longitude: 120.214671,,,,,"-1","0","-1",,,669639ee-4a9b-4992-b0ed-6a3d87641970,台南市東區立德八路14巷5號前(近立德一路/立德七路),建置中(其他狀態100),"22.976452","120.214671"
臺中草悟廣場站(多站),VmId: 669d44eb-9472-4618-a499-5df492587758<br>地址: 台中市西區英才路534號(近英才路/國泰金融大樓側)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 24.149716<br>Longitude: 120.664810,,,,,"-1","0","-1",,,669d44eb-9472-4618-a499-5df492587758,台中市西區英才路534號(近英才路/國泰金融大樓側),已啟用,"24.149716","120.664810"
全家高雄宏光店站(多站),VmId: 669ece4f-29f4-46b2-a542-f1ddcf64cffa<br>地址: 高雄市小港區漢民路786號(近高雄市立小港醫院)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 22.568162<br>Longitude: 120.363795,,,,,"-1","0","-1",,,669ece4f-29f4-46b2-a542-f1ddcf64cffa,高雄市小港區漢民路786號(近高雄市立小港醫院),已啟用,"22.568162","120.363795"
新北市忠孝高架橋下重安段停車場站,VmId: 66cc9016-468e-4717-834f-969bc828e461<br>地址: 新北市三重區重安街23號對面(近重安街23號/重安街29巷口)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 25.057287<br>Longitude: 121.490880,,,,,"-1","0","-1",,,66cc9016-468e-4717-834f-969bc828e461,新北市三重區重安街23號對面(近重安街23號/重安街29巷口),已啟用,"25.057287","121.490880"
家樂福新楠店站(多站),VmId: 66f06138-d475-40d2-bd09-f7e6f33559f5<br>地址: 高雄市楠梓區土庫一路60號(近土庫一路與清豐一路交叉口)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 22.736140<br>Longitude: 120.330897,,,,,"-1","0","-1",,,66f06138-d475-40d2-bd09-f7e6f33559f5,高雄市楠梓區土庫一路60號(近土庫一路與清豐一路交叉口),已啟用,"22.736140","120.330897"
7-ELEVEN 福上店站,VmId: 67026241-08fb-4675-ad2b-ffbc3c588640<br>地址: 台中市西屯區河南路2段71號1樓(近中醫大水湳校區)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 24.175474<br>Longitude: 120.659355,,,,,"-1","0","-1",,,67026241-08fb-4675-ad2b-ffbc3c588640,台中市西屯區河南路2段71號1樓(近中醫大水湳校區),已啟用,"24.175474","120.659355"
機器人王國站,VmId: 67086a95-de85-4804-abfb-73ddf04215f8<br>地址: 台北市中正區中華路二段165號(近中華路/莒光路口)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 25.030793<br>Longitude: 121.504244,,,,,"-1","0","-1",,,67086a95-de85-4804-abfb-73ddf04215f8,台北市中正區中華路二段165號(近中華路/莒光路口),已啟用,"25.030793","121.504244"
中油永華路東加油站,VmId: 671746cb-abe7-44db-838c-d31f0b2096b7<br>地址: 台南市安平區永華路二段216號(近永華路二段/永華三街口)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 22.990045<br>Longitude: 120.180856,,,,,"-1","0","-1",,,671746cb-abe7-44db-838c-d31f0b2096b7,台南市安平區永華路二段216號(近永華路二段/永華三街口),已啟用,"22.990045","120.180856"
家樂福便利購桃園南平店站,VmId: 67238ce5-7676-4a8c-81cc-f66e947dcc6d<br>地址: 桃園市桃園區南平路168號(近南平路/新埔七街路口)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 25.019705<br>Longitude: 121.301971,,,,,"-1","0","-1",,,67238ce5-7676-4a8c-81cc-f66e947dcc6d,桃園市桃園區南平路168號(近南平路/新埔七街路口),已啟用,"25.019705","121.301971"
中油南投成功路加油站,VmId: 672d530e-2ec1-4aea-b250-30b965270f4f<br>地址: 南投縣草屯鎮成功路一段716號(近隘寮溪成功橋)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 23.988840<br>Longitude: 120.684700,,,,,"-1","0","-1",,,672d530e-2ec1-4aea-b250-30b965270f4f,南投縣草屯鎮成功路一段716號(近隘寮溪成功橋),已啟用,"23.988840","120.684700"
中油旭昇加油站,VmId: 675e4bda-8187-4cd4-bc06-5891b6f1e1cb<br>地址: 桃園市觀音區成功路一段188號(近成功路一段/保障二路交叉口)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 25.053285<br>Longitude: 121.147642,,,,,"-1","0","-1",,,675e4bda-8187-4cd4-bc06-5891b6f1e1cb,桃園市觀音區成功路一段188號(近成功路一段/保障二路交叉口),已啟用,"25.053285","121.147642"
全聯竹北莊敬南店站,VmId: 677eed4f-5040-4053-a559-e5fbb2bc5e73<br>地址: 新竹縣竹北市莊敬南路125.127.129.131號(近莊敬南路與成功十一街口)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 24.815923<br>Longitude: 121.020020,,,,,"-1","0","-1",,,677eed4f-5040-4053-a559-e5fbb2bc5e73,新竹縣竹北市莊敬南路125.127.129.131號(近莊敬南路與成功十一街口),已啟用,"24.815923","121.020020"
中油大來加油站,VmId: 67908c35-6055-453c-8350-3995e43c5d15<br>地址: 高雄市大寮區大漢路330號(近大漢路/民貴街口)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 22.636484<br>Longitude: 120.383057,,,,,"-1","0","-1",,,67908c35-6055-453c-8350-3995e43c5d15,高雄市大寮區大漢路330號(近大漢路/民貴街口),已啟用,"22.636484","120.383057"
臺中市春安停車場站(多站),VmId: 67b6d55c-6a7f-4226-b034-eefdb64115f2<br>地址: 臺中市南屯區建功路、春安三街(近建功路/春安二街口)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 24.136360<br>Longitude: 120.607513,,,,,"-1","0","-1",,,67b6d55c-6a7f-4226-b034-eefdb64115f2,臺中市南屯區建功路、春安三街(近建功路/春安二街口),已啟用,"24.136360","120.607513"
臺中市三塊厝停車場站(多站),VmId: 67cad72f-4af1-497c-bfda-2890ee849caa<br>地址: 臺中市南屯區永春東七路、大墩十一街(近臺中花市)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 24.148148<br>Longitude: 120.632649,,,,,"-1","0","-1",,,67cad72f-4af1-497c-bfda-2890ee849caa,臺中市南屯區永春東七路、大墩十一街(近臺中花市),已啟用,"24.148148","120.632649"
Gogoro 士林承德服務中心站,VmId: 67efd581-0a61-4b47-8462-7635989093c3<br>地址: 台北市士林區承德路四段340號(近承德路四段/福港街口)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 25.090101<br>Longitude: 121.517444,,,,,"-1","0","-1",,,67efd581-0a61-4b47-8462-7635989093c3,台北市士林區承德路四段340號(近承德路四段/福港街口),已啟用,"25.090101","121.517444"
福華加油站(多站),VmId: 680311cf-8d81-462a-bb09-af779082a478<br>地址: 台北市文山區興隆路二段244巷1號(近萬芳醫院)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 25.000718<br>Longitude: 121.553904,,,,,"-1","0","-1",,,680311cf-8d81-462a-bb09-af779082a478,台北市文山區興隆路二段244巷1號(近萬芳醫院),已啟用,"25.000718","121.553904"
